id,name,created_at,created_by
1,3B6,2026-01-04 14:59:43.858096+00,Admin
2,3DXTech,2026-01-04 14:59:43.858096+00,Admin
3,3F Filippi,2026-01-04 14:59:43.858096+00,Admin
4,3M,2026-01-04 14:59:43.858096+00,Admin
5,a&g,2026-01-04 14:59:43.858096+00,Admin
6,A-RYUNG,2026-01-04 14:59:43.858096+00,Admin
7,A-T Controls,2026-01-04 14:59:43.858096+00,Admin
8,A-Z,2026-01-04 14:59:43.858096+00,Admin
9,AAF,2026-01-04 14:59:43.858096+00,Admin
10,ABB,2026-01-04 14:59:43.858096+00,Admin
11,ABICOR BINZEL,2026-01-04 14:59:43.858096+00,Admin
12,ABNOX,2026-01-04 14:59:43.858096+00,Admin
13,ABP,2026-01-04 14:59:43.858096+00,Admin
14,ABRA,2026-01-04 14:59:43.858096+00,Admin
15,Absolent,2026-01-04 14:59:43.858096+00,Admin
16,ABUS,2026-01-04 14:59:43.858096+00,Admin
17,Ac-motoren,2026-01-04 14:59:43.858096+00,Admin
18,ACAM,2026-01-04 14:59:43.858096+00,Admin
19,Accuweb,2026-01-04 14:59:43.858096+00,Admin
20,ACE,2026-01-04 14:59:43.858096+00,Admin
21,ACE Controls,2026-01-04 14:59:43.858096+00,Admin
22,ACEB,2026-01-04 14:59:43.858096+00,Admin
23,ACG,2026-01-04 14:59:43.858096+00,Admin
24,Acim Jouanin,2026-01-04 14:59:43.858096+00,Admin
25,ACKSYS,2026-01-04 14:59:43.858096+00,Admin
26,ACLA,2026-01-04 14:59:43.858096+00,Admin
27,Acopos,2026-01-04 14:59:43.858096+00,Admin
28,Acqua Brevetti,2026-01-04 14:59:43.858096+00,Admin
29,Acroname,2026-01-04 14:59:43.858096+00,Admin
30,ACS,2026-01-04 14:59:43.858096+00,Admin
31,ACT,2026-01-04 14:59:43.858096+00,Admin
32,active key,2026-01-04 14:59:43.858096+00,Admin
33,ACU-RITE,2026-01-04 14:59:43.858096+00,Admin
34,AcuAMP,2026-01-04 14:59:43.858096+00,Admin
35,ADAMCZEWSKI,2026-01-04 14:59:43.858096+00,Admin
36,ADDER,2026-01-04 14:59:43.858096+00,Admin
37,ADDI-DATA,2026-01-04 14:59:43.858096+00,Admin
38,ADFweb,2026-01-04 14:59:43.858096+00,Admin
39,ADVANCE,2026-01-04 14:59:43.858096+00,Admin
40,ADVEL,2026-01-04 14:59:43.858096+00,Admin
41,ADZ Nagano,2026-01-04 14:59:43.858096+00,Admin
42,AECO,2026-01-04 14:59:43.858096+00,Admin
43,AEG,2026-01-04 14:59:43.858096+00,Admin
44,aep,2026-01-04 14:59:43.858096+00,Admin
45,Aerotech,2026-01-04 14:59:43.858096+00,Admin
46,AERTUBI,2026-01-04 14:59:43.858096+00,Admin
47,Aerzen,2026-01-04 14:59:43.858096+00,Admin
48,AESSEAL,2026-01-04 14:59:43.858096+00,Admin
49,AFAG,2026-01-04 14:59:43.858096+00,Admin
50,AFL,2026-01-04 14:59:43.858096+00,Admin
51,AFRISO,2026-01-04 14:59:43.858096+00,Admin
52,AG Neovo,2026-01-04 14:59:43.858096+00,Admin
53,AGATHON,2026-01-04 14:59:43.858096+00,Admin
54,AGG,2026-01-04 14:59:43.858096+00,Admin
55,AGIERRE,2026-01-04 14:59:43.858096+00,Admin
56,Agmov,2026-01-04 14:59:43.858096+00,Admin
57,Agro,2026-01-04 14:59:43.858096+00,Admin
58,Ahlborn,2026-01-04 14:59:43.858096+00,Admin
59,Aidro,2026-01-04 14:59:43.858096+00,Admin
60,AirCom,2026-01-04 14:59:43.858096+00,Admin
61,AirLoc,2026-01-04 14:59:43.858096+00,Admin
62,AIRON,2026-01-04 14:59:43.858096+00,Admin
63,AIRTEC,2026-01-04 14:59:43.858096+00,Admin
64,aixFilter,2026-01-04 14:59:43.858096+00,Admin
65,AK Regeltechnik,2026-01-04 14:59:43.858096+00,Admin
66,AK-NORD,2026-01-04 14:59:43.858096+00,Admin
67,AKAPP-STEMMANN,2026-01-04 14:59:43.858096+00,Admin
68,AKCESORLA,2026-01-04 14:59:43.858096+00,Admin
69,AKERSTROMS,2026-01-04 14:59:43.858096+00,Admin
70,AKN,2026-01-04 14:59:43.858096+00,Admin
71,AKO,2026-01-04 14:59:43.858096+00,Admin
72,akYtec,2026-01-04 14:59:43.858096+00,Admin
73,AL-KO,2026-01-04 14:59:43.858096+00,Admin
74,ALBERT,2026-01-04 14:59:43.858096+00,Admin
75,Alberti,2026-01-04 14:59:43.858096+00,Admin
76,Albright,2026-01-04 14:59:43.858096+00,Admin
77,Alco,2026-01-04 14:59:43.858096+00,Admin
78,Alcomex,2026-01-04 14:59:43.858096+00,Admin
79,Aldak,2026-01-04 14:59:43.858096+00,Admin
80,Alfa laval,2026-01-04 14:59:43.858096+00,Admin
81,ALFAFLEX,2026-01-04 14:59:43.858096+00,Admin
82,Alfatec,2026-01-04 14:59:43.858096+00,Admin
