id,order_id,name,quantity,comment,created_at,category
1,1,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
2,2,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
3,3,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
4,4,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
5,5,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
6,6,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
7,7,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
8,8,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
9,9,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
10,10,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
11,11,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
12,12,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
13,13,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
14,14,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
15,15,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
16,16,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
17,17,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
18,18,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
19,19,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
20,20,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
21,21,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
22,22,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
23,23,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
24,24,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
25,25,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
26,26,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
27,27,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
28,28,Масляный фильтр,1,,2026-01-02 09:22:20.860041+00,Оригинал
