Таблица,Колонка,Тип данных,Обязательно (No=Да),По умолчанию,Ключ
app_users,id,uuid,NO,gen_random_uuid(),PK
app_users,name,text,NO,null,null
app_users,token,text,NO,null,null
app_users,role,text,NO,null,null
app_users,created_at,timestamp with time zone,YES,now(),null
app_users,phone,text,YES,null,null
app_users,status,text,YES,'pending'::text,null
brands,id,bigint,NO,null,PK
brands,name,text,NO,null,null
brands,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
brands,created_by,text,YES,'Admin'::text,null
buyer_order_labels,id,uuid,NO,gen_random_uuid(),PK
buyer_order_labels,user_token,text,NO,null,null
buyer_order_labels,order_id,bigint,NO,null,null
buyer_order_labels,color,text,NO,null,null
buyer_order_labels,label_text,text,YES,null,null
buyer_order_labels,created_at,timestamp with time zone,YES,now(),null
chat_messages,id,bigint,NO,null,PK
chat_messages,order_id,bigint,NO,null,null
chat_messages,offer_id,bigint,YES,null,null
chat_messages,sender_role,text,NO,null,null
chat_messages,sender_name,text,NO,null,null
chat_messages,message,text,NO,null,null
chat_messages,item_name,text,YES,null,null
chat_messages,is_read,boolean,YES,false,null
chat_messages,recipient_name,text,YES,null,null
chat_messages,is_archived,boolean,YES,false,null
chat_messages,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
chat_messages,file_url,text,YES,null,null
chat_messages,file_type,text,YES,null,null
exchange_rates,date,date,NO,CURRENT_DATE,PK
exchange_rates,cny_rub,numeric,NO,null,null
exchange_rates,usd_rub,numeric,NO,null,null
exchange_rates,cny_usd,numeric,YES,null,null
exchange_rates,delivery_kg_usd,numeric,YES,0,null
exchange_rates,markup_percent,numeric,YES,0,null
exchange_rates,created_at,timestamp with time zone,YES,now(),null
incoming_emails,id,uuid,NO,gen_random_uuid(),PK
incoming_emails,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
incoming_emails,from_address,text,YES,null,null
incoming_emails,subject,text,YES,null,null
incoming_emails,body,text,YES,null,null
incoming_emails,status,text,YES,'new'::text,null
monthly_buyer_stats,user_id,uuid,NO,null,PK
monthly_buyer_stats,month_date,date,NO,null,PK
monthly_buyer_stats,kp_count,integer,YES,0,null
monthly_buyer_stats,kp_sum,numeric,YES,0,null
monthly_buyer_stats,won_count,integer,YES,0,null
monthly_buyer_stats,won_sum,numeric,YES,0,null
monthly_buyer_stats,updated_at,timestamp with time zone,YES,now(),null
offer_items,id,bigint,NO,null,PK
offer_items,offer_id,bigint,YES,null,null
offer_items,order_item_id,bigint,YES,null,null
offer_items,name,text,NO,null,null
offer_items,quantity,integer,YES,1,null
offer_items,price,numeric,NO,null,null
offer_items,currency,text,YES,'RUB'::text,null
offer_items,delivery_days,integer,YES,null,null
offer_items,admin_price,numeric,YES,null,null
offer_items,admin_currency,text,YES,null,null
offer_items,is_winner,boolean,YES,false,null
offer_items,weight,numeric,YES,0,null
offer_items,photo_url,text,YES,null,null
offer_items,admin_comment,text,YES,null,null
offer_items,delivery_rate,numeric,YES,0,null
offer_items,comment,text,YES,null,null
offer_items,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
offer_items,admin_price_rub,numeric,YES,null,null
offer_items,is_manual_price,boolean,YES,false,null
offer_items,calculated_price_rub,numeric,YES,null,null
offers,id,bigint,NO,null,PK
offers,order_id,bigint,YES,null,null
offers,supplier_name,text,NO,null,null
offers,supplier_phone,text,YES,null,null
offers,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
offers,status,text,YES,'Активно'::text,null
offers,created_by,uuid,YES,null,null
order_items,id,bigint,NO,null,PK
order_items,order_id,bigint,YES,null,null
order_items,name,text,NO,null,null
order_items,quantity,integer,YES,1,null
order_items,comment,text,YES,null,null
order_items,category,text,YES,null,null
order_items,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
order_items,admin_price_rub,numeric,YES,null,null
order_items,is_manual_price,boolean,YES,false,null
order_items,calculated_price_rub,numeric,YES,null,null
order_items,photo_url,text,YES,null,null
order_items,brand,text,YES,null,null
order_items,article,text,YES,null,null
order_items,uom,text,YES,'шт'::text,null
orders,id,bigint,NO,null,PK
orders,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",null
orders,client_name,text,NO,null,null
orders,client_phone,text,YES,null,null
orders,car_brand,text,YES,null,null
orders,car_model,text,YES,null,null
orders,car_year,text,YES,null,null
orders,vin,text,YES,null,null
orders,status_admin,text,YES,'В обработке'::text,null
orders,status_client,text,YES,'В обработке'::text,null
orders,status_supplier,text,YES,'Сбор предложений'::text,null
orders,location,text,YES,'РФ'::text,null
orders,visible_to_client,boolean,YES,false,null
orders,is_archived,boolean,YES,false,null
orders,status_updated_at,timestamp with time zone,YES,now(),null
orders,owner_token,text,YES,null,null
orders,deadline,date,YES,null,null
orders,bitrix_deal_id,text,YES,null,null
